;FPL_ID;WUL_NR;LFD_NR;NR;LINIE;KURS_NR;FWG;FGR;ZIEL;TYP;VON_ORT_NR;VON_ORT_TYP;VON_VL;BIS_ORT_NR;BIS_ORT_TYP;BIS_VL;BEGINN;DAUER;VORG_FZNR;FZGT_NR;AUSSTIEG_ENDE;EXT_ID
99;1004008;100;1;29;1;;1;2;;0;10001;1;1;10002;1;24;52800;1920;;1;1;
100;1004008;101;1;30;1;;1;2;;0;10001;1;1;10002;1;24;53700;1920;;1;1;
101;1004008;102;1;31;1;;1;2;;0;10001;1;1;10002;1;24;54600;1920;;1;1;
102;1004008;103;1;32;1;;1;2;;0;10001;1;1;10002;1;24;55500;1920;;1;1;
103;1004008;104;1;33;1;;1;2;;0;10001;1;1;10002;1;24;56400;1920;;1;1;
104;1004008;105;1;34;1;;1;2;;0;10001;1;1;10002;1;24;57300;1920;;1;1;
105;1004008;106;1;35;1;;1;2;;0;10001;1;1;10002;1;24;58200;1920;;1;1;
106;1004008;107;1;36;1;;1;2;;0;10001;1;1;10002;1;24;59100;1920;;1;1;
107;1004008;108;1;37;1;;1;2;;0;10001;1;1;10002;1;24;60000;1920;;1;1;
108;1004008;109;1;38;1;;1;2;;0;10001;1;1;10002;1;24;60900;1920;;1;1;
109;1004008;110;1;39;1;;1;2;;0;10001;1;1;10002;1;24;61800;1920;;1;1;
110;1004008;111;1;40;1;;1;2;;0;10001;1;1;10002;1;24;62700;1920;;1;1;
111;1004008;112;1;41;1;;1;2;;0;10001;1;1;10002;1;24;63600;1920;;1;1;
112;1004008;113;1;42;1;;1;2;;0;10001;1;1;10002;1;24;64500;1920;;1;1;
113;1004008;114;1;43;1;;1;2;;0;10001;1;1;10002;1;24;65400;1920;;1;1;
114;1004008;115;1;44;1;;1;2;;0;10001;1;1;10002;1;24;66300;1920;;1;1;
115;1004008;116;1;45;1;;1;2;;0;10001;1;1;10002;1;24;67200;1920;;1;1;
116;1004008;117;1;46;1;;1;2;;0;10001;1;1;10002;1;24;68100;1920;;1;1;
117;1004008;118;1;47;1;;1;2;;0;10001;1;1;10002;1;24;69000;1920;;1;1;
118;1004008;119;1;48;1;;1;2;;0;10001;1;1;10002;1;24;69900;1920;;1;1;
119;1004008;120;1;49;1;;1;2;;0;10001;1;1;10002;1;24;70800;1920;;1;1;
120;1004008;121;1;50;1;;1;2;;0;10001;1;1;10002;1;24;72600;1920;;1;1;
121;1004008;122;1;51;1;;1;2;;0;10001;1;1;10002;1;24;71700;1920;;1;1;
122;1004008;123;1;52;1;;1;2;;0;10001;1;1;10002;1;24;42900;1920;;1;1;
123;1004008;124;1;53;1;;1;3;;0;10001;1;1;10002;1;24;73620;1680;;1;1;
124;1004008;125;1;54;1;;1;2;;0;10001;1;1;10002;1;24;44700;1920;;1;1;
125;1004008;126;1;55;1;;2;3;;0;10001;1;1;110002;1;16;74520;1080;;1;1;
126;1004008;127;1;56;1;;1;2;;0;10001;1;1;10002;1;24;36600;1920;;1;1;
127;1004008;128;1;57;1;;1;2;;0;10001;1;1;10002;1;24;38400;1920;;1;1;
128;1004008;129;1;58;1;;1;2;;0;10001;1;1;10002;1;24;40200;1920;;1;1;
129;1004008;130;1;59;1;;1;2;;0;10001;1;1;10002;1;24;42000;1920;;1;1;
130;1004008;131;1;60;1;;1;2;;0;10001;1;1;10002;1;24;43800;1920;;1;1;
131;1004008;132;1;61;1;;2;3;;0;10001;1;1;110002;1;16;89700;1080;;2;1;
132;1004001;1;1;1;1;;1;1;;0;10001;1;1;10002;1;24;21120;1920;;1;1;
133;1004001;133;1;2;1;;1;2;;0;10001;1;1;10002;1;24;24000;1920;;1;1;
134;1004001;3;1;3;1;;1;2;;0;10001;1;1;10002;1;24;24900;1920;;1;1;
135;1004001;4;1;4;1;;1;2;;0;10001;1;1;10002;1;24;26700;1920;;1;1;
136;1004001;5;1;5;1;;1;2;;0;10001;1;1;10002;1;24;28500;1920;;1;1;
137;1004001;6;1;6;1;;1;2;;0;10001;1;1;10002;1;24;30300;1920;;1;1;
138;1004001;7;1;7;1;;1;2;;0;10001;1;1;10002;1;24;32100;1920;;1;1;
139;1004001;8;1;8;1;;1;2;;0;10001;1;1;10002;1;24;33900;1920;;1;1;
140;1004001;9;1;9;1;;1;2;;0;10001;1;1;10002;1;24;35700;1920;;1;1;
141;1004001;10;1;10;1;;1;2;;0;10001;1;1;10002;1;24;37500;1920;;1;1;
142;1004001;11;1;11;1;;1;2;;0;10001;1;1;10002;1;24;39300;1920;;1;1;
143;1004001;12;1;12;1;;1;2;;0;10001;1;1;10002;1;24;41100;1920;;1;1;
144;1004001;13;1;13;1;;1;2;;0;10001;1;1;10002;1;24;42900;1920;;1;1;
145;1004001;14;1;14;1;;1;2;;0;10001;1;1;10002;1;24;44700;1920;;1;1;
146;1004001;134;1;15;1;;1;2;;0;10001;1;1;10002;1;24;45600;1920;;1;1;
147;1004001;135;1;16;1;;1;2;;0;10001;1;1;10002;1;24;46500;1920;;1;1;
148;1004001;136;1;17;1;;1;2;;0;10001;1;1;10002;1;24;47400;1920;;1;1;
149;1004001;137;1;18;1;;1;2;;0;10001;1;1;10002;1;24;48300;1920;;1;1;
150;1004001;138;1;19;1;;1;2;;0;10001;1;1;10002;1;24;49200;1920;;1;1;
151;1004001;139;1;20;1;;1;2;;0;10001;1;1;10002;1;24;50100;1920;;1;1;
152;1004001;140;1;21;1;;1;2;;0;10001;1;1;10002;1;24;51000;1920;;1;1;
153;1004001;141;1;22;1;;1;2;;0;10001;1;1;10002;1;24;51900;1920;;1;1;
154;1004001;142;1;23;1;;1;2;;0;10001;1;1;10002;1;24;52800;1920;;1;1;
155;1004001;143;1;24;1;;1;2;;0;10001;1;1;10002;1;24;53700;1920;;1;1;
156;1004001;144;1;25;1;;1;2;;0;10001;1;1;10002;1;24;54600;1920;;1;1;
157;1004001;145;1;26;1;;1;2;;0;10001;1;1;10002;1;24;55500;1920;;1;1;
158;1004001;146;1;27;1;;1;2;;0;10001;1;1;10002;1;24;56400;1920;;1;1;
159;1004001;147;1;28;1;;1;2;;0;10001;1;1;10002;1;24;57300;1920;;1;1;
160;1004001;148;1;29;1;;1;2;;0;10001;1;1;10002;1;24;58200;1920;;1;1;
161;1004001;149;1;30;1;;1;2;;0;10001;1;1;10002;1;24;59100;1920;;1;1;
162;1004001;150;1;31;1;;1;2;;0;10001;1;1;10002;1;24;60000;1920;;1;1;
163;1004001;151;1;32;1;;1;2;;0;10001;1;1;10002;1;24;60900;1920;;1;1;
164;1004001;152;1;33;1;;1;2;;0;10001;1;1;10002;1;24;61800;1920;;1;1;
165;1004001;153;1;34;1;;1;2;;0;10001;1;1;10002;1;24;62700;1920;;1;1;
166;1004001;154;1;35;1;;1;2;;0;10001;1;1;10002;1;24;63600;1920;;1;1;
167;1004001;155;1;36;1;;1;2;;0;10001;1;1;10002;1;24;64500;1920;;1;1;
168;1004001;156;1;37;1;;1;2;;0;10001;1;1;10002;1;24;65400;1920;;1;1;
169;1004001;157;1;38;1;;1;2;;0;10001;1;1;10002;1;24;66300;1920;;1;1;
170;1004001;158;1;39;1;;1;2;;0;10001;1;1;10002;1;24;67200;1920;;1;1;
171;1004001;159;1;40;1;;1;2;;0;10001;1;1;10002;1;24;68100;1920;;1;1;
172;1004001;160;1;41;1;;1;2;;0;10001;1;1;10002;1;24;69000;1920;;1;1;
173;1004001;161;1;42;1;;1;2;;0;10001;1;1;10002;1;24;69900;1920;;1;1;
174;1004001;162;1;43;1;;1;2;;0;10001;1;1;10002;1;24;70800;1920;;1;1;
175;1004001;163;1;44;1;;1;2;;0;10001;1;1;10002;1;24;71700;1920;;1;1;
176;1004001;164;1;45;1;;1;2;;0;10001;1;1;10002;1;24;72600;1920;;1;1;
177;1004001;165;1;46;1;;2;3;;0;10001;1;1;110002;1;16;86400;1080;;1;1;
178;1004001;166;1;47;1;;1;1;;0;10001;1;1;10002;1;24;18000;1380;;1;1;
179;1004001;167;1;48;1;;1;1;;0;10001;1;1;10002;1;24;19380;2340;;1;1;
180;1004001;168;1;49;1;;1;1;;0;10001;1;1;10002;1;24;22200;1740;;1;1;
181;1004001;169;1;50;1;;1;2;;0;10001;1;1;10002;1;24;23100;1920;;1;1;
182;1004001;170;1;51;1;;1;2;;0;10001;1;1;10002;1;24;25800;1920;;1;1;
183;1004001;171;1;52;1;;1;2;;0;10001;1;1;10002;1;24;27600;1920;;1;1;
184;1004001;172;1;53;1;;1;2;;0;10001;1;1;10002;1;24;29400;1920;;1;1;
185;1004001;173;1;54;1;;1;2;;0;10001;1;1;10002;1;24;31200;1920;;1;1;
186;1004001;174;1;55;1;;1;2;;0;10001;1;1;10002;1;24;33000;1920;;1;1;
187;1004001;175;1;56;1;;1;2;;0;10001;1;1;10002;1;24;34800;1920;;1;1;
188;1004001;176;1;57;1;;1;2;;0;10001;1;1;10002;1;24;36600;1920;;1;1;
189;1004001;177;1;58;1;;1;2;;0;10001;1;1;10002;1;24;38400;1920;;1;1;
190;1004001;178;1;59;1;;1;2;;0;10001;1;1;10002;1;24;40200;1920;;1;1;
191;1004001;179;1;60;1;;1;2;;0;10001;1;1;10002;1;24;42000;1920;;1;1;
192;1004001;180;1;61;1;;1;2;;0;10001;1;1;10002;1;24;43800;1920;;1;1;
193;1004001;62;1;62;1;;1;3;;0;10001;1;1;10002;1;24;75420;1680;;1;1;
194;1004001;63;1;63;1;;1;3;;0;10001;1;1;10002;1;24;77220;1680;;1;1;
195;1004001;64;1;64;1;;1;3;;0;10001;1;1;10002;1;24;79020;1680;;1;1;
196;1004001;65;1;65;1;;1;3;;0;10001;1;1;10002;1;24;80820;1680;;1;1;
197;1004001;66;1;66;1;;1;3;;0;10001;1;1;10002;1;24;82620;1680;;1;1;
198;1004001;67;1;67;1;;3;3;;0;110002;1;1;10002;1;9;88800;600;;1;1;
199;1004001;68;1;68;1;;1;3;;0;10001;1;1;10002;1;24;84420;1980;;1;1;
200;1004001;69;1;69;1;;1;3;;0;10001;1;1;10002;1;24;73620;1680;;1;1;
201;1004001;70;1;70;1;;2;3;;0;10001;1;1;110002;1;16;74520;1080;;1;1;
202;1004001;71;1;71;1;;2;3;;0;10001;1;1;110002;1;16;89700;1080;;2;1;
203;1004002;1;1;1;1;;1;1;;0;10001;1;1;10002;1;24;21120;1920;;1;1;
204;1004002;133;1;2;1;;1;2;;0;10001;1;1;10002;1;24;24000;1920;;1;1;
205;1004002;3;1;3;1;;1;2;;0;10001;1;1;10002;1;24;24900;1920;;1;1;
206;1004002;4;1;4;1;;1;2;;0;10001;1;1;10002;1;24;26700;1920;;1;1;
207;1004002;5;1;5;1;;1;2;;0;10001;1;1;10002;1;24;28500;1920;;1;1;
208;1004002;6;1;6;1;;1;2;;0;10001;1;1;10002;1;24;30300;1920;;1;1;
209;1004002;7;1;7;1;;1;2;;0;10001;1;1;10002;1;24;32100;1920;;1;1;
210;1004002;8;1;8;1;;1;2;;0;10001;1;1;10002;1;24;33900;1920;;1;1;
211;1004002;9;1;9;1;;1;2;;0;10001;1;1;10002;1;24;35700;1920;;1;1;
212;1004002;10;1;10;1;;1;2;;0;10001;1;1;10002;1;24;37500;1920;;1;1;
213;1004002;11;1;11;1;;1;2;;0;10001;1;1;10002;1;24;39300;1920;;1;1;
214;1004002;12;1;12;1;;1;2;;0;10001;1;1;10002;1;24;41100;1920;;1;1;
215;1004002;13;1;13;1;;1;2;;0;10001;1;1;10002;1;24;42900;1920;;1;1;
216;1004002;14;1;14;1;;1;2;;0;10001;1;1;10002;1;24;44700;1920;;1;1;
217;1004002;134;1;15;1;;1;2;;0;10001;1;1;10002;1;24;45600;1920;;1;1;
218;1004002;135;1;16;1;;1;2;;0;10001;1;1;10002;1;24;46500;1920;;1;1;
219;1004002;136;1;17;1;;1;2;;0;10001;1;1;10002;1;24;47400;1920;;1;1;
220;1004002;137;1;18;1;;1;2;;0;10001;1;1;10002;1;24;48300;1920;;1;1;
221;1004002;138;1;19;1;;1;2;;0;10001;1;1;10002;1;24;49200;1920;;1;1;
222;1004002;139;1;20;1;;1;2;;0;10001;1;1;10002;1;24;50100;1920;;1;1;
223;1004002;140;1;21;1;;1;2;;0;10001;1;1;10002;1;24;51000;1920;;1;1;
224;1004002;141;1;22;1;;1;2;;0;10001;1;1;10002;1;24;51900;1920;;1;1;
225;1004002;142;1;23;1;;1;2;;0;10001;1;1;10002;1;24;52800;1920;;1;1;
226;1004002;143;1;24;1;;1;2;;0;10001;1;1;10002;1;24;53700;1920;;1;1;
227;1004002;144;1;25;1;;1;2;;0;10001;1;1;10002;1;24;54600;1920;;1;1;
228;1004002;145;1;26;1;;1;2;;0;10001;1;1;10002;1;24;55500;1920;;1;1;
229;1004002;146;1;27;1;;1;2;;0;10001;1;1;10002;1;24;56400;1920;;1;1;
230;1004002;147;1;28;1;;1;2;;0;10001;1;1;10002;1;24;57300;1920;;1;1;
231;1004002;148;1;29;1;;1;2;;0;10001;1;1;10002;1;24;58200;1920;;1;1;
232;1004002;149;1;30;1;;1;2;;0;10001;1;1;10002;1;24;59100;1920;;1;1;
233;1004002;150;1;31;1;;1;2;;0;10001;1;1;10002;1;24;60000;1920;;1;1;
234;1004002;151;1;32;1;;1;2;;0;10001;1;1;10002;1;24;60900;1920;;1;1;
235;1004002;152;1;33;1;;1;2;;0;10001;1;1;10002;1;24;61800;1920;;1;1;
236;1004002;153;1;34;1;;1;2;;0;10001;1;1;10002;1;24;62700;1920;;1;1;
237;1004002;154;1;35;1;;1;2;;0;10001;1;1;10002;1;24;63600;1920;;1;1;
238;1004002;155;1;36;1;;1;2;;0;10001;1;1;10002;1;24;64500;1920;;1;1;
239;1004002;156;1;37;1;;1;2;;0;10001;1;1;10002;1;24;65400;1920;;1;1;
240;1004002;157;1;38;1;;1;2;;0;10001;1;1;10002;1;24;66300;1920;;1;1;
241;1004002;158;1;39;1;;1;2;;0;10001;1;1;10002;1;24;67200;1920;;1;1;
242;1004002;159;1;40;1;;1;2;;0;10001;1;1;10002;1;24;68100;1920;;1;1;
243;1004002;160;1;41;1;;1;2;;0;10001;1;1;10002;1;24;69000;1920;;1;1;
244;1004002;161;1;42;1;;1;2;;0;10001;1;1;10002;1;24;69900;1920;;1;1;
245;1004002;162;1;43;1;;1;2;;0;10001;1;1;10002;1;24;70800;1920;;1;1;
246;1004002;163;1;44;1;;1;2;;0;10001;1;1;10002;1;24;71700;1920;;1;1;
247;1004002;164;1;45;1;;1;2;;0;10001;1;1;10002;1;24;72600;1920;;1;1;
248;1004002;165;1;46;1;;2;3;;0;10001;1;1;110002;1;16;86400;1080;;1;1;
249;1004002;166;1;47;1;;1;1;;0;10001;1;1;10002;1;24;18000;1380;;1;1;
250;1004002;167;1;48;1;;1;1;;0;10001;1;1;10002;1;24;19380;2340;;1;1;
251;1004002;168;1;49;1;;1;1;;0;10001;1;1;10002;1;24;22200;1740;;1;1;
252;1004002;169;1;50;1;;1;2;;0;10001;1;1;10002;1;24;23100;1920;;1;1;
253;1004002;170;1;51;1;;1;2;;0;10001;1;1;10002;1;24;25800;1920;;1;1;
254;1004002;171;1;52;1;;1;2;;0;10001;1;1;10002;1;24;27600;1920;;1;1;
255;1004002;172;1;53;1;;1;2;;0;10001;1;1;10002;1;24;29400;1920;;1;1;
256;1004002;173;1;54;1;;1;2;;0;10001;1;1;10002;1;24;31200;1920;;1;1;
257;1004002;174;1;55;1;;1;2;;0;10001;1;1;10002;1;24;33000;1920;;1;1;
258;1004002;175;1;56;1;;1;2;;0;10001;1;1;10002;1;24;34800;1920;;1;1;
259;1004002;176;1;57;1;;1;2;;0;10001;1;1;10002;1;24;36600;1920;;1;1;
260;1004002;177;1;58;1;;1;2;;0;10001;1;1;10002;1;24;38400;1920;;1;1;
261;1004002;178;1;59;1;;1;2;;0;10001;1;1;10002;1;24;40200;1920;;1;1;
262;1004002;179;1;60;1;;1;2;;0;10001;1;1;10002;1;24;42000;1920;;1;1;
263;1004002;180;1;61;1;;1;2;;0;10001;1;1;10002;1;24;43800;1920;;1;1;
264;1004002;62;1;62;1;;1;3;;0;10001;1;1;10002;1;24;75420;1680;;1;1;
265;1004002;63;1;63;1;;1;3;;0;10001;1;1;10002;1;24;77220;1680;;1;1;
266;1004002;64;1;64;1;;1;3;;0;10001;1;1;10002;1;24;79020;1680;;1;1;
267;1004002;65;1;65;1;;1;3;;0;10001;1;1;10002;1;24;80820;1680;;1;1;
268;1004002;66;1;66;1;;1;3;;0;10001;1;1;10002;1;24;82620;1680;;1;1;
269;1004002;67;1;67;1;;3;3;;0;110002;1;1;10002;1;9;88800;600;;1;1;
270;1004002;68;1;68;1;;1;3;;0;10001;1;1;10002;1;24;84420;1980;;1;1;
271;1004002;69;1;69;1;;1;3;;0;10001;1;1;10002;1;24;73620;1680;;1;1;
272;1004002;70;1;70;1;;2;3;;0;10001;1;1;110002;1;16;74520;1080;;1;1;
273;1004002;71;1;71;1;;2;3;;0;10001;1;1;110002;1;16;89700;1080;;2;1;
274;1004004;1;1;1;1;;1;1;;0;10001;1;1;10002;1;24;21120;1920;;1;1;
275;1004004;133;1;2;1;;1;2;;0;10001;1;1;10002;1;24;24000;1920;;1;1;
276;1004004;3;1;3;1;;1;2;;0;10001;1;1;10002;1;24;24900;1920;;1;1;
277;1004004;4;1;4;1;;1;2;;0;10001;1;1;10002;1;24;26700;1920;;1;1;
278;1004004;5;1;5;1;;1;2;;0;10001;1;1;10002;1;24;28500;1920;;1;1;
279;1004004;6;1;6;1;;1;2;;0;10001;1;1;10002;1;24;30300;1920;;1;1;
280;1004004;7;1;7;1;;1;2;;0;10001;1;1;10002;1;24;32100;1920;;1;1;
