;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;FGR;DAUER
670;41202;1;41102;1;7;60
671;41301;1;10201;1;7;60
672;41302;1;41202;1;7;120
673;60305;1;31002;1;7;120
674;60305;1;32501;1;7;120
675;70001;1;71001;1;7;120
676;70002;1;90902;1;7;60
677;70002;1;710102;1;7;60
678;70601;1;710101;1;7;60
679;70602;1;32502;1;7;60
680;71001;1;110201;1;7;60
681;71002;1;70002;1;7;60
682;90901;1;70001;1;7;60
683;90902;1;91002;1;7;60
684;91001;1;90901;1;7;60
685;91002;1;91702;1;7;60
686;91701;1;91001;1;7;60
687;91702;1;10402;1;7;60
688;110002;1;110202;1;7;60
689;110201;1;110001;1;7;60
690;110202;1;71002;1;7;60
691;408111;1;40901;1;7;60
692;408112;1;40802;1;7;60
693;710101;1;70001;1;7;60
694;710102;1;70602;1;7;60
695;222222;4;40002;1;7;469
696;333333;4;20001;1;7;117
